Year,Max
1997.158904,30.5
1997.161644,29.2
1997.164384,28.8
1997.167123,27.8
1997.169863,26.6
1997.172603,31.2
1997.175342,31.3
1997.178082,31.7
1997.180822,31.7
1997.183562,31.9
1997.186301,29.1
1997.189041,30.3
1997.191781,31.8
1997.194521,32.2
1997.19726,33.2
1997.2,32.2
1997.20274,32.5
1997.205479,33.3
1997.208219,31.3
1997.210959,32.6
1997.213699,32.9
1997.216438,32.1
1997.219178,33.7
1997.221918,34
1997.224658,34.8
1997.227397,34.3
1997.230137,32.6
1997.232877,31.6
1997.235616,32.1
1997.238356,33.6
1997.241096,34.8
1997.243836,33.9
1997.246575,33.3
1997.249315,33.8
1997.252055,34.5
1997.254795,34.7
1997.257534,33.9
1997.260274,34.5
1997.263014,34.8
1997.265753,33.8
1997.268493,33.8
1997.271233,32.5
1997.273973,32.2
1997.276712,32
1997.279452,33.8
1997.282192,33.5
1997.284932,33.5
1997.287671,31.9
1997.290411,33
1997.293151,33.8
1997.29589,34.2
1997.29863,34
1997.30137,33.1
1997.30411,33.9
1997.306849,32.9
1997.309589,33.5
1997.312329,33.9
1997.315068,34.4
1997.317808,34.5
1997.320548,33.5
1997.323288,33.7
1997.326027,33.8
1997.328767,32.7
1997.331507,33.6
1997.334247,32.2
1997.336986,32.1
1997.339726,31.6
1997.342466,31.4
1997.345205,32.4
1997.347945,32.6
1997.350685,33.1
1997.353425,33.2
1997.356164,32.7
1997.358904,32.5
1997.361644,31.8
1997.364384,32.4
1997.367123,32.2
1997.369863,31.1
1997.372603,30.9
1997.375342,31.8
1997.378082,31
1997.380822,31.3
1997.383562,30.1
1997.386301,30.7
1997.389041,27.8
1997.391781,32.1
1997.394521,31.2
1997.39726,30.7
1997.4,29.2
1997.40274,30
1997.405479,30.7
1997.408219,29.5
1997.410959,31.3
1997.413699,31.3
1997.416438,29.6
1997.419178,30.4
1997.421918,31.1
1997.424658,30.4
1997.427397,30.7
1997.430137,33
1997.432877,31.9
1997.435616,31.6
1997.438356,30.6
1997.441096,31.7
